abandon v.放弃
fawn n.未满周岁的小鹿 v.奉承
fax n.传真 v.传真
fear n.害怕;恐惧 v.害怕
fearful adj.可怕的;害怕的
feasible adj.可行的;可能的
feast n.宴会;节日
feat n.功绩;壮举
feather n.羽毛;翎毛
feature n.特征;特色 v.以...为特色
February n.二月
federal adj.联邦的;联盟的
federation n.联盟;联合
fee n.费;赏金
feed v.喂;喂养
feedback n.反馈;反响
feel v.感觉;认为
feeling n.感情;感觉
fellow n.男子;同伴
fellowship n.友情;奖学金
female adj.女性的;雌性的 n.女性
feminine adj.女性的;女子的
fence n.栅栏;围栏
fertile adj.肥沃的;多产的
fertilizer n.肥料
festival n.节日;音乐节
fetch v.取来;带来
fever n.发烧;狂热
few adj.不多的;少数的
fewer adj.较少的
fiber n.纤维;纤维质
fiction n.小说;虚构
field n.田地;领域
fierce adj.猛烈的;凶猛的
fight v./n.打斗;争论
figure n.数字;人物 v.计算;出现
file n.文件;档案 v.归档
fill v.填满;充满
film n.电影;胶卷 v.拍摄
filter n.过滤器;滤纸 v.过滤
final adj.最终的;决定性的 n.决赛
finally adv.最后;终于
finance n.财政;金融 v.资助
financial adj.财政的;金融的
find v.找到;发现
finding n.发现;调查结果
fine adj.细的;美好的 n.罚款
finger n.手指;指针
finish v.完成;结束 n.结束
finite adj.有限的;限定的
fire n.火;火灾 v.开火;解雇
fireman n.消防员
firm adj.坚定的 n.商行;公司
firmly adv.牢牢地;坚定地
first adj.第一的 adv.首先 n.第一
fish n.鱼;鱼肉 v.钓鱼
fisherman n.渔夫;捕鱼人
fist n.拳;拳头
fit adj.合适的 v.适合;安装
fitness n.健康;适合
fix v.固定;修理
fixed adj.固定的;不变的
fixture n.固定装置;设备
flag n.旗;标志 v.衰退;枯萎
flame n.火焰;光辉
flap n.垂下物;振翼
flare n.闪光;火焰 v.闪光
flash n.闪光 v.闪;反射
flat adj.平坦的 n.一套房间
flatten v.使平坦;压平
flavor n.味;风味
fleet n.舰队;一群
flesh n.肉;肉体
flexibility n.灵活性;柔韧性
flexible adj.灵活的;可弯曲的
flick n.轻打 v.轻弹;轻击
flight n.飞行;航班
fling v.扔;抛
float v.浮动;漂浮
flock n.羊群;鸟群
flood n.洪水 v.淹没
floor n.地板;楼层
flour n.面粉;粉状物质
flow v.流动;流淌
flower n.花;开花
flu n.流感
fluctuate v.波动;变化
fluent adj.流利的;流畅的
fluid n.流体;液体 adj.流动的
flush v.冲洗 n.脸红
flutter v./n.振翼;飘动
fly n.苍蝇 v.飞;飞行
focus v./n.集中;焦点
fog n.雾;雾状物
fold v.折叠;合抱
folder n.文件夹;纸夹
folk n.人们;家属
follow v.跟随;遵循
following adj.接着的 n.追随者
fond adj.喜爱的;温柔的
food n.食物;食品
fool n.傻瓜 v.欺骗
foolish adj.愚蠢的;荒谬的
foot n.足;英尺
football n.足球;橄榄球
footstep n.脚步;足迹
for prep.为了;因为 conj.因为
forbid v.禁止;不许
force n.力量 v.强迫
forecast v./n.预测;预报
forehead n.前额;头的前部分
foreign adj.外国的;外来的
foreigner n.外国人
forest n.森林;森林地带
forever adv.永远;长久地
forge v.锻造;伪造
forget v.忘记;遗忘
forgive v.原谅;宽恕
fork n.叉;餐叉
form n.形式 v.形成
formal adj.正式的;形式上的
format n.格式 v.格式化
formation n.形成;构造
former adj.以前的 n.前者
formula n.公式;规则
formulate v.制定;规划
fort n.要塞;堡垒
fortnight n.两星期;十四天
fortunate adj.幸运的;吉祥的
fortunately adv.幸运地;幸亏
fortune n.财产;运气
forty num.四十
forum n.论坛;讨论会
forward adv.向前 v.转递
fossil n.化石;僵化的事物
foster v.促进;培养
foul adj.肮脏的;邪恶的
found v.创立;建立
foundation n.基础;基金会
fountain n.喷泉;源泉
four num.四
fourteen num.十四
fourth num.第四
fox n.狐狸;狡猾的人
fraction n.分数;部分
fracture n.骨折 v.破裂
fragile adj.易碎的;脆弱的
fragment n.碎片;片段
fragrance n.香味;芬芳
frame n.框架;体格 v.给...镶框
framework n.构架;框架
franchise n.特权;公民权
frank adj.坦率的;直率的
frankly adv.坦率地;真诚地
fraud n.欺诈;骗子
free adj.自由的 v.释放
freedom n.自由;自主
freely adv.自由地;慷慨地
freeze v.结冰;冷冻
freezing adj.冻结的;冷冻的
freight n.货物;货运
frequency n.频率;频繁
frequent adj.频繁的 v.常往
frequently adv.频繁地;经常
fresh adj.新鲜的;无经验的
friction n.摩擦;摩擦力
fridge n.电冰箱
friend n.朋友;友人
friendly adj.友好的;友谊的
friendship n.友情;友谊
frighten v.使惊恐;吓唬
frightened adj.受惊的;害怕的
frightening adj.令人恐惧的
frog n.青蛙
from prep.从;来自
front adj.前面的 n.前面
frontier n.前沿;边境
frost n.霜;霜冻
frown v.皱眉;蹙额
fruit n.水果;果实
fruitful adj.多产的;有成果的
frustrate v.挫败;使沮丧
frustration n.挫折;挫败
fuel n.燃料 v.供燃料
fulfill v.履行;满足
fulfillment n.履行;满足
full adj.满的;完全的
fully adv.完全地;充分地
fume n.烟雾;气味 v.冒烟
fun n.乐趣;娱乐
function n.功能;职务 v.运行
functional adj.功能的;实用的
fund n.基金;资金 v.投资
fundamental adj.基本的;重要的
fundamentally adv.根本上;基本上
funeral n.葬礼;出殡
funny adj.有趣的;滑稽的
fur n.软毛;毛皮
furious adj.狂怒的;狂暴的
furnace n.炉子;熔炉
furnish v.供应;装备
furniture n.家具;装置
further adv.更远地 adj.更远的
furthermore adv.而且;此外
fuse n.保险丝 v.熔化
fusion n.熔合;结合
futile adj.无效的;无用的
future n.将来;前途
fuzzy adj.模糊的;不清楚的
gadget n.小工具;小机械
gain v.获得;增加 n.增加;利润
gal n.女孩;少女
galaxy n.银河;星系;一群杰出的人
gale n.强风;狂风
gallon n.加仑
gallop v./n.奔驰;飞驰
gamble v.赌博;冒险 n.赌博
game n.游戏;比赛
gang n.一帮;一群
gap n.缺口;差距
garage n.车库;汽车修理厂
garbage n.垃圾;废物
garden n.花园;园林
garlic n.大蒜
garment n.衣服;服装
gas n.煤气;气体
gaseous adj.气体的;气态的
gasoline n.汽油
gasp v.喘气;气喘
gate n.大门;闸门
gather v.收集;聚集
gathering n.聚集;集会
gauge n.标准;测量仪 v.测量
gaunt adj.憔悴的;荒凉的
gaze v./n.凝视;注视
gear n.齿轮;工具 v.调整
gender n.性别;种类
gene n.基因;因子
general adj.一般的 n.将军
generalize v.概括;推广
generally adv.一般地;通常地
generate v.产生;生成
generation n.一代;产生
generator n.发电机;发电机
generous adj.慷慨的;丰富的
genius n.天才;天赋
genre n.类型;种类
genteel adj.有教养的;优雅的
gently adv.温和地;文雅地
genuine adj.真正的;真诚的
geography n.地理学;地形
geometry n.几何学
germ n.微生物;细菌
gesture n.姿势;手势 v.作手势
get v.得到;变得
ghost n.鬼魂;幽灵
giant n.巨人;巨物
gift n.礼物;天赋 v.赠送
gifted adj.有天赋的;有才华的
giggle v./n.咯咯笑
ginger n.姜;姜黄色
girl n.女孩;女儿
give v.给;提供
glad adj.高兴的;乐意的
glance v.看一眼;扫视
glare v.怒视;眩光 n.眩光;耀眼
glass n.玻璃;玻璃杯
glimpse n.一瞥 v.瞥见
gloomy adj.阴暗的;忧郁的
glorious adj.光荣的;壮丽的
glory n.光荣;壮丽
gloss n.光泽;注释
glossy adj.发光的;光滑的
glove n.手套
glow n.炽热;脸红 v.发热
glue n.胶 v.粘合
go v.去;进行 n.尝试
goal n.目标;得分
goat n.山羊;山羊皮
god n.上帝;神
gold n.黄金;金色 adj.金制的
golden adj.金色的;极好的
golf n.高尔夫球
good adj.好的 n.好处
goodbye interj.再见
goodness n.善良;美德
goods n.商品;货物
goose n.鹅;鹅肉
govern v.管理;支配
government n.政府;治理
governor n.州长;主管
gown n.长袍;礼服
grab v./n.攫取;抓取
grace n.优美;宽限
graceful adj.优美的;优雅的
gracious adj.仁慈的;优美的
grade n.等级 v.分级
gradient n.梯度;斜率
gradual adj.逐渐的;逐步的
graduate v.毕业 n.毕业生
graft v.嫁接;移植
grain n.谷物;颗粒
gram n.克
grammar n.语法;语法学
grammatical adj.语法的
grand adj.宏伟的;重大的
grandfather n.祖父;外祖父
grandmother n.祖母;外祖母
grant v.授予 n.授予物
grasp v.抓住;掌握
grass n.草;草地
grateful adj.感激的;感谢的
gratitude n.感激;感谢
grave n.坟墓;死亡 adj.严重的
gravity n.重力;严肃
graze v.放牧;擦伤
grease n.油脂;润滑油
great adj.伟大的;重要的
green adj.绿色的;生的 n.绿色
greenhouse n.温室;花房
greet v.问候;招呼
greeting n.问候;招呼
grey n./adj.灰色（的）
grid n.网格;栅格
grief n.悲痛;悲伤
grieve v.使悲伤;悲伤
grill n.烤架;格栅 v.烤
grim adj.冷酷的;严峻的
grin n.露齿笑 v.露齿笑
grind v.磨碎;磨快
grip v./n.紧握;掌握
grit n.沙粒;勇气
groan n.呻吟声 v.呻吟
grocer n.杂货商
grocery n.杂货店;食品
gross adj.总的;粗野的
ground n.地面;理由
group n.组;团体 v.成群
grow v.生长;种植
growth n.生长;增长
grumble v.抱怨;嘟囔
guarantee n.保证 v.保证
guard n.警卫;守卫 v.守卫
guess v.猜测;推测
guest n.客人;旅客
guide n.向导;指南 v.引导
guideline n.指导原则;方针
guilt n.罪行;内疚
guilty adj.内疚的;有罪的
guitar n.吉他;六弦琴
gun n.枪;炮
gym n.体育馆;健身房
gymnasium n.体育馆;健身房
habit n.习惯;习性
habitat n.栖息地;生长地
hair n.头发;毛发
half n./adj.一半（的）
hall n.大厅;过道
halt n.停止;休息 v.停止
ham n.火腿;猪后腿肉
hamburger n.汉堡包
hammer n.锤子 v.锤击
hamper v.妨碍;阻碍
hand n.手;指针 v.传递
handful n.一把;少数
handicap n.障碍;不利条件 v.妨碍
handle n.把手;柄 v.处理
handsome adj.英俊的;可观的
handwriting n.书法;笔迹
handy adj.便利的; handy
hang v.悬挂;绞死
happen v.发生;碰巧
happiness n.幸福;快乐
happy adj.快乐的;幸福的
harassment n.骚扰;烦恼
harbor n.港口;避难所 v.庇护
hard adj.硬的;困难的 adv.努力地
hardly adv.几乎不;仅仅
hardship n.困苦;苦难
hardware n.硬件;五金器具
harm n.伤害;损害 v.损害
harmful adj.有害的;伤害的
harmony n.和谐;一致
harsh adj.严厉的;粗糙的
harvest n.收获;产量 v.收割
haste n.匆忙;急忙 v.匆忙
hasten v.加速;赶快
hat n.帽子
hatch n.孵化;舱口 v.孵蛋;策划
hate v.恨;憎恨
hatred n.憎恨;敌意
haul v.拖拉;拖运
haunt v.常去;萦绕
have v.有;让
hawk n.鹰;鹰派成员
hay n.干草
hazard n.危险;冒险 v.冒险
hazardous adj.危险的;冒险的
head n.头;领导 v.朝向
headache n.头痛
heading n.标题;方向
headline n.大标题;头条新闻
headquarters n.总部;司令部
heal v.治愈;愈合
health n.健康;卫生
healthy adj.健康的;健壮的
heap n.堆;大量 v.堆
hear v.听见;听说
hearing n.听力;审讯
heart n.心;中心
heat n.热;热度 v.加热
heating n.加热;供暖
heaven n.天堂;天空
heavily adv.沉重地;大量地
heavy adj.重的;繁重的
hedge n.树篱;障碍物
heel n.脚后跟;鞋跟
height n.高度;高度
heighten v.提高;增加
heir n.继承人;继承人
helicopter n.直升飞机
hell n.地狱;苦境
hello interj.喂;你好
helmet n.头盔;帽状物
help v.帮助;援助 n.帮助
helpful adj.有帮助的;有益的
hemisphere n.半球
hen n.母鸡
hence adv.因此;从此
henceforth adv.今后;从此
her pron.她的;她的
herb n.草药;药草
herd n.兽群;牧群 v.放牧
here adv.这里;在这里
heritage n.遗产;传统
hero n.英雄;男主角
heroic adj.英雄的;英勇的
heroine n.女英雄;女主角
hers pron.她的
herself pron.她自己
hesitate v.犹豫;踌躇
hey interj.嗨;喂
hi interj.嗨
hide v.隐藏;隐瞒 n.皮革
hierarchy n.等级制度;统治集团
high adj.高的 adv.高地
highly adv.高度地;非常
highway n.公路;大路
hike v.徒步旅行;增加
hill n.小山;丘陵
him pron.他
himself pron.他自己
hint n.暗示;提示 v.暗示
hip n.臀部;屋脊
hire v.雇佣;租用
his pron.他的
historian n.历史学家
historic adj.历史上的;有历史意义的
historical adj.历史的;有关历史的
history n.历史;历史学
hit v.打;打击 n.击中
hitherto adv.到目前为止;迄今
hoax n.骗局;恶作剧
hobby n.爱好;嗜好
hockey n.曲棍球;冰上曲棍球
hold v.拿;保持
holder n.持有者;容器
hole n.洞;孔
holiday n.假日;节日
hollow adj.空的;空洞的
holy adj.神圣的;圣洁的
home n.家;家乡 adv.回家
homeless adj.无家的;无栖身之所的
homework n.家庭作业;预习
homo sapiens 智人
hone n.磨刀石 v.磨锐
honey n.蜜;蜂蜜
honor n.荣誉;尊敬 v.尊敬
honorable adj.荣誉的;值得尊敬的
hood n.头巾;罩
hook n.钩;挂钩 v.钩住
hope n.希望 v.希望
hopeful adj.有希望的;有前途的
hopefully adv.有希望地;乐观地
hopeless adj.绝望的;无希望的
horizon n.地平线;视野
horizontal adj.水平的;横向的
hormone n.激素;荷尔蒙
horn n.角;号角
horror n.恐怖;战栗
horse n.马;马科动物
horsepower n.马力
hospital n.医院
hospitality n.好客;款待
host n.主人;主持人 v.主持
hostage n.人质;抵押品
hostile adj.敌对的;不友好的
hot adj.热的;热情的
hotel n.旅馆;酒店
hound n.猎狗;卑鄙的人
hour n.小时;时间
house n.房子;家庭
household n.家庭;一家人 adj.家庭的
housewife n.家庭主妇
housing n.住房;住房供给
hovel n.茅屋;小屋
hover v.盘旋;徘徊
how adv.如何;怎样
however adv.然而;无论如何
huddle v.挤成一堆;蜷缩
hug v./n.拥抱;紧抱
huge adj.巨大的;庞大的
huh interj.哼;哈
human adj.人的;人类的 n.人
humane adj.人道的;仁慈的
humanity n.人类;人性
humble adj.谦逊的;低下的
humid adj.潮湿的;湿润的
humidity n.湿度;湿气
humiliate v.使羞辱;使丢脸
humor n.幽默;心情 v.迎合
hundred num.一百
hunger n.饿;渴望 v.渴望
hungry adj.饿的;渴望的
hunt v.打猎;搜寻
hunter n.猎人;猎犬
hurricane n.飓风;狂风
hurry v.匆忙;赶紧 n.急忙
hurt v.伤害;受伤
husband n.丈夫
husbandry n.农艺;耕作
hush v.使...安静;肃静
hut n.小屋;棚屋
hygiene n.卫生;卫生学
hypothesis n.假设;前提
hypothetical adj.假设的;假定的
hysteria n.歇斯底里;狂热
I pron.我
ice n.冰;冰淇淋
icon n.图标;偶像
idea n.思想;想法
ideal adj.理想的;完美的 n.理想
idealism n.唯心主义;理想主义
idealist n.理想主义者
ideally adv.理想地;最好地
identical adj.相同的;一致的
identification n.识别;身份证明
identify v.识别;认同
identity n.身份;特性
ideological adj.思想的;意识形态的
ideology n.意识形态;思想体系
idiom n.成语;习语
idiot n.白痴;笨蛋
idle adj.闲置的;懒散的 v.虚度
idleness n.懒惰;闲置
ignore v.忽视;不顾
ignorance n.无知;不知
ignorant adj.无知的;愚昧的
ignore v.忽视;不顾
ill adj.坏的;生病的 adv.坏地
illegal adj.非法的;违法的
illiterate adj.文盲的;未受教育的
illness n.病;疾病
illuminate v.照亮;照明
illusion n.幻觉;错觉
illustrate v.说明;阐明
illustration n.例证;插图
image n.形象;图像 v.想象
imaginary adj.想象的;虚构的
imagination n.想象;想象力
imaginative adj.想象的;有创造力的
imagine v.想象;设想
imitate v.模仿;仿效
imitation n.模仿;仿制品
immediate adj.立即的;直接的
immediately adv.立即;直接地
immense adj.巨大的;广大的
immerse v.沉浸;使深陷
immigrant n.移民;侨民
immigrate v.移民;迁入
immigration n.移民;移民局
immune adj.免疫的;不受影响的
impact n.冲击;影响 v.冲击
impair v.损害;削弱
impart v.传授;告知
impartial adj.公正的;无偏见的
impartiality n.公正;公平
impassioned adj.热情的;激昂的
impatient adj.不耐烦的;急躁的
implement v.执行;实施 n.工具
implementation n.实施;执行
implication n.含义;暗示
implicit adj.含蓄的;不直接表达的
implies v.暗示;意味着
imply v.暗示;意味
import n.进口;重要性 v.进口
importance n.重要性;重要
important adj.重要的;重大的
impose v.强加;征税
impossible adj.不可能的;难以忍受的
impress v.给...深刻印象
impression n.印象;印记
impressive adj.给人深刻印象的
improve v.改善;提高
improvement n.改善;提高
impulse n.冲动;推动力
in prep.在...里 adv.进入
inch n.英寸
incidence n.发生;影响
incident n.事件;事变
incidentally adv.顺便提一句;偶然地
incline v.使倾斜;倾向于 n.斜坡
include v.包括;包含
including prep.包括;包含
income n.收入;收益
incorporate v.结合;合并
increase n.增加;增长 v.增加
increasingly adv.越来越多地;渐增地
incredible adj.难以置信的;极好的
incredibly adv.难以置信地;极端地
incur v.招致;遭受
indeed adv.的确;实在
indefinitely adv.无限期地;不明确地
indifferent adj.漠不关心的;中立的
indignant adj.愤慨的;义愤的
indignation n.愤慨;义愤
indirect adj.间接的;迂回的
individual adj.个别的;独特的 n.个人
indoor adj.室内的;室内使用的
indoors adv.在室内
induce v.诱导;引起
induction n.就职;归纳
industrial adj.工业的;产业的
industry n.工业;行业
inefficient adj.无效率的;低能的
inevitable adj.不可避免的;必然的
inevitably adv.不可避免地;必然地
inexpensive adj.不昂贵的;便宜的
infant n.婴儿;幼儿
infect v.传染;感染
infection n.感染;传染病
infectious adj.传染的;有感染力的
infer v.推断;推论
inference n.推断;推论
inferior adj.劣等的;下级的
inferiority n.低等;自卑感
infinite adj.无限的;无穷的
infinitely adv.无限地;极大地
inflation n.通货膨胀;膨胀
influence n.影响;势力 v.影响
influential adj.有影响的;有权势的
inform v.通知;告知
information n.信息;情报
informed adj.有知识的;了解情况的
informer n.告密者;通报者
infraction n.违反;犯规
infrastructure n.基础设施;基础结构
infringe v.侵犯;违反
infringement n.侵犯;侵害
ingenious adj.精巧的;有发明天才的
ingredient n.成分;原料
inhabitant n.居民;居住者
inhale v.吸入;吸气
inherent adj.固有的;天生的
inherit v.继承;遗传得
inheritance n.继承;遗传
initial adj.最初的;词首的
initially adv.最初;起先
initiate v.开始;发起
initiative n.主动;主动权
injection n.注射;注射剂
injunction n.命令;禁令
injure v.伤害;损害
injury n.伤害;损伤
inmate n.同住者;居民
innocent adj.无辜的;无害的
innocence n.清白;无害
innovation n.创新;改革
innovative adj.创新的;革新的
innumerable adj.无数的;数不清的
input n.输入;投入
inquire v.询问;调查
inquiry n.询问;调查
insects n.昆虫;虫子
insert v.插入;嵌入
insertion n.插入;嵌入
inside adv.在里面 n.内部
insider n.内部的人;内部消息
insight n.洞察力;洞悉
insist v.坚持;坚决认为
inspect v.检查;视察
inspection n.检查;视察
inspector n.检查员;巡视员
inspiration n.灵感;鼓舞
inspire v.鼓舞;激励
install v.安装;任命
installation n.安装;装置
installment n.安装;分期付款
instance n.实例;情况
instant adj.立即的 n.瞬间
instantaneous adj.瞬间的;即刻的
instead adv.代替;反而
instinct n.本能;直觉
institute n.学院;研究所 v.建立
institution n.机构;建立
institutional adj.机构的;慈善机构的
instruct v.指导;通知
instruction n.指令;教育
instructor n.教师;指导者
instrument n.工具;乐器
instrumental adj.仪器的;有帮助的
insufficient adj.不充分的;不足的
insult v.侮辱;冒犯
insurance n.保险;保险费
insure v.保险;确保
intact adj.完整的;未受损伤的
integrate v.整合;使成整体
integrated adj.整合的;集成的
integration n.整合;一体化
integrity n.正直;完整
intellectual adj.智力的;理性的 n.知识分子
intelligence n.智力;理解力
intelligent adj.聪明的;智能的
intelligible adj.可理解的;明了的
intend v.想要;打算
intention n.意图;目的
interact v.互相作用;交流
interaction n.相互作用;互动
intercourse n.交流;性交
interest n.兴趣;利益
interested adj.感兴趣的;有利益的
interesting adj.有趣的;引人入胜的
interface n.界面;接合点
interfere v.干涉;干预
interference n.干涉;干扰
interim adj.临时的;中间的
interior adj.内部的 n.内部
intermediate adj.中间的;中级的
intermediates n.中间产物;中间商
intermittent adj.间歇的;断断续续的
internal adj.内部的;内在的
international adj.国际的;世界的
internationally adv.国际地;世界性地
interpersonal adj.人与人之间的;人际的
interpret v.解释;翻译
interpretation n.解释;口译
interpreter n.解释者;口译者
interrupt v.中断;打扰
interruption n.中断;干扰
intersect v.横截;相交
intersection n.横截;交叉
interval n.间隔;间歇
intervene v.干涉;介入
intervention n.干涉;介入
interview n./v.面试;面谈
intimate adj.亲密的;个人的
into prep.到...里;进入
intricate adj.复杂的;错综的
intriguing adj.引起兴趣的;迷人的
intrinsic adj.固有的;内在的
introduce v.介绍;引入
introduction n.介绍;引入
intrude v.闯入;强挤进去
intuition n.直觉;直觉力
intuitive adj.直觉的;直观的
invade v.侵入;侵略
invasion n.侵入;侵略
invent v.发明;捏造
invention n.发明;发明物
inventive adj.发明的;有创造力的
inventory n.存货;清单
inverse adj.相反的;倒转的
inversely adv.相反地;倒转地
inversion n.倒置;逆转
invest v.投资;投入
investigate v.调查;研究
investigation n.调查;研究
investigator n.调查员;研究员
investment n.投资;投资额
invisible adj.看不见的;无形的
invitation n.邀请;邀请书
invite v.邀请;招致
invoice n.发票;发货单
involvement n.参与;涉及
involve v.包含;牵涉
inward adj.向内的;内部的 adv.向内
iodine n.碘
ion n.离子
iris n.虹膜;鸢尾花
iron n.铁;熨斗 v.熨烫
ironic adj.讽刺的;反讽的
irony n.讽刺;反讽
irradiation n.照射;辐射
irrational adj.无理性的;不合理的
irregular adj.不规则的;不整齐的
irrelevant adj.不相关的;不切题的
irrespective adj.不考虑的;不顾的
irrigate v.灌溉;冲洗
irrigation n.灌溉;灌溉工程
island n.岛;岛屿
isolate v.隔离;孤立
isolated adj.隔离的;孤立的
isolation n.隔离;孤立
issue n.问题 v.发行;发布
it pron.它
item n.项目;条款
ivory n.象牙;牙白色
jab v.戳;刺 n.刺;戳
jack n.千斤顶;男人
jacket n.夹克;短上衣
jail n.监狱;监禁
jam n.果酱;拥挤 v.挤;卡住
January n.一月
jar n.罐子;广口瓶 v.震动;冲突
jargon n.行话;术语
jaw n.下巴;颌
jazz n.爵士乐;爵士舞
jealous adj.妒忌的;猜疑的
jeans n.牛仔裤
jeep n.吉普车
jelly n.果冻;胶状物
jewel n.宝石;宝石饰物
jewelry n.珠宝;珠宝业
job n.工作;任务
jog v.慢跑;轻推
join v.连接;加入
joint adj.联合的;共同的 n.关节
joke n.笑话;玩笑 v.说笑话
jolly adj.欢乐的;愉快的
journal n.日记;杂志
journalism n.新闻业;报业
journalist n.新闻记者;新闻工作者
journey n.旅行;行程
joy n.欢乐;喜悦
joyful adj.欢乐的;令人愉快的
judge v.判断;审判 n.法官
judgment n.判断;判决
judicial adj.司法的;法庭的
juice n.汁;液;果汁
July n.七月
jump v.跳;跳跃 n.跳跃
June n.六月
jungle n.丛林;密林
junior adj.年少的 n.年少者
jurisdiction n.司法权;审判权
jury n.陪审团;评判团
justice n.正义;公正
justification n.辩护;正当理由
justify v.证明...正当;为...辩护
juvenile adj.少年的;似少年的 n.少年
keen adj.热心的;激烈的
keep v.保持;保留
kettle n.水壶;罐
key n.钥匙;关键 adj.主要的
keyboard n.键盘
kick v.踢 n.踢
kid n.小孩;山羊 v.开玩笑
kidnap v.绑架;诱拐
kidney n.肾;腰子
kill v.杀死;消磨
killer n.杀手;杀人犯
killing n.杀戮;谋杀
kilogram n.千克;公斤
kilometer n.公里;千米
kind adj.善良的 n.种类
kindergarten n.幼儿园
kindness n.仁慈;善良
king n.国王;君主
kingdom n.王国;领域
kiss n./v.吻;轻触
kitchen n.厨房;灶间
knee n.膝;膝盖
kneel v.跪下;跪着
knife n.小刀;匕首
knight n.骑士;爵士
knock v.敲;打
knot n.结;节 v.打结
know v.知道;认识
knowledge n.知识;了解
label n.标签;标记 v.贴标签
labor n.劳动;工作
laboratory n.实验室;研究室
laborer n.劳动者;工人
lack n.缺乏;不足 v.缺乏
lacking adj.缺乏的;不足的
ladder n.梯子;阶梯
lady n.女士;夫人
lag v.落后;滞后 n.落后
lake n.湖;湖泊
lamp n.灯;油灯
land n.土地;国土 v.登陆
landing n.登陆;着陆
landlord n.地主;房东
lane n.小路;巷
language n.语言;表达能力
lap n.膝;一圈 v.重叠
laptop n.笔记本电脑
large adj.大的;巨大的
largely adv.大部分;主要地
laser n.激光
last adj.最后的 v.持续
lasting adj.持久的;持久的
late adj.迟的 adv.迟地
lately adv.最近;不久前
latent adj.潜在的;潜伏的
later adv.后来 adj.后来的
latest adj.最新的;最近的
latter adj.后者的 n.后者
laugh v.笑;嘲笑 n.笑
laughter n.笑;笑声
launch v.发动;发射
laundry n.洗衣;洗衣房
lava n.熔岩;岩浆
law n.法律;定律
lawful adj.合法的;法律的
lawyer n.律师;法律顾问
lay v.放;产卵 adj.世俗的
layer n.层;层次
layoff n.解雇;失业
lazy adj.懒惰的;懒散的
lead v.领导;导致 n.铅
leader n.领袖;领导者
leadership n.领导;领导能力
leading adj.领导的;最主要的
leaf n.叶子;一页
league n.联盟;联合会
leak v.漏;泄露 n.漏洞
lean v.倾斜;倚 adj.瘦的
leap v.跳跃;剧增 n.跳跃
learn v.学习;得知
learned adj.有学问的;学术的
learning n.学习;学问
lease n.租约;租赁 v.出租
least adj.最小的 adv.最少
leather n.皮革;皮革制品
leave v.离开;留下 n.许可
lecture n.演讲;讲课 v.演讲
left adj.左边的 n.左;左边
leg n.腿;腿部
legacy n.遗产;遗留物
legal adj.法律的;合法的
legend n.传说;传奇
legislation n.立法;法规
legislative adj.立法的;有立法权的
legislator n.立法者;议员
legislature n.立法机关;立法机构
legitimate adj.合法的;正当的
leisure n.空闲;闲暇
lemon n.柠檬;柠檬树
lend v.借出;提供
length n.长度;距离
lengthy adj.长的;漫长的
lens n.透镜;镜头
less adj./adv.较少的（地） n.较少
lessen v.减少;减轻
lesson n.课;教训
let v.让;允许
letter n.信;字母
level n.水平 adj.水平的
lever n.杠杆;操纵杆
levy v./n.征税;征兵
lewd adj.淫荡的;好色的
liability n.责任;债务
liable adj.有责任的;易...的
liberal adj.自由的;慷慨的
liberate v.解放;释放
liberation n.解放;释放
liberty n.自由;释放
liberty n.自由;释放
librarian n.图书管理员;图书馆馆长
library n.图书馆;藏书
license n.许可证;执照 v.许可
lichen n.青苔;苔藓
lick v.舔;卷过
lid n.盖子;眼睑
lie v.躺;说谎 n.谎言
life n.生命;生活
lifeboat n.生命救生艇
lifetime n.一生;寿命
lift v.举起;提升 n.电梯
light n.光;灯 v.点燃
lightning n.闪电
like v.喜欢 prep.像;如同
likelihood n.可能性;可能
likely adj.可能的 adv.可能地
likewise adv.同样地;也
limb n.肢;树枝
limit n.限制 v.限制
limitation n.限制;限度
limited adj.有限的;受限的
line n.线;排 v.排队
linear adj.线的;直线的
linen n.亚麻布;亚麻制品
liner n.班机;班船
linguistic adj.语言的;语言学的
link v.连接 n.环节;链环
lion n.狮子;勇猛的人
lip n.嘴唇;唇缘
liquid n.液体 adj.液体的
liquor n.酒;烈性酒
list n.列表 v.列出
listen v.听;倾听
literacy n.识字;有文化
literal adj.文字的;字面的
literally adv.照字面地;确实地
literature n.文学;文献
litre n.升;公升
litter n.垃圾;杂乱 v.乱扔
little adj.小的 adv.很少地
little n.小;少许
live v.居住 adj.活的
livestock n.家畜;牲畜
living adj.活的 n.生计
living room 客厅
load n.负载 v.装载
loan n.贷款;借款
lobby n.大厅;休息室
local adj.地方的;当地的
locality n.地点;位置
locate v.位于;定位
location n.位置;场所
lock n.锁 v.锁上
locker n.锁柜;更衣室
log n.原木;日志 v.记录
logic n.逻辑;逻辑学
logical adj.逻辑的;合理的
logistics n.物流;后勤
loose adj.松的;宽松的
loosen v.放松;松开
lord n.领主;上帝
lorry n.卡车;运货汽车
lose v.丢失;失败
loss n.损失;失败
lot n.许多;批量
lots adv.很;非常
loud adj.大声的;响亮的
loudly adv.大声地;响亮地
love n.爱;热爱 v.爱
lovely adj.美好的;可爱的
lover n.爱好者;情人
low adj.低的;矮的 adv.低地
lower adj.较低的 v.降低
loyal adj.忠诚的;忠心的
